PROGRAM,SITE,YEAR,ANC,DOC,NO3,SBC_ALL,SBC-0,SO4
VTLTM,1C1-110E,2017,11.875,2.6585,1.234333333,53.3344,39.1914625,29.796
ALTM,050707O,2015,25.32,7.49,16.74,66.24,84.82,29.82
VTSSS,VT62,2016,120.56,0,0.213,182.023,0,29.868
VTSSS,VT01,1994,91.165,0,42.923,184.388,0,29.968
MELTM,1E1-133E,2016,57.85,2.3,0.34,178.06,88.84,29.99
VTSSS,VT15,1998,28.9,0,2.473,73.8,0,30.018
VTLTM,1C1-090E,2014,40.2,4.117,5.14,106.26,84.066,30.078
VTLTM,1C1-089E,2012,27.867,5.637,4.641,92.025,69.26,30.085
VTLTM,1C1-110E,2014,-0.911,1.48,10.47,57.069,41.462,30.12
VTSSS,VT44,1991,79.705,0,2.675,135.735,0,30.123
VTSSS,VT46,1992,83.593,0,2.58,143.29,0,30.13
MELTM,1C1-078E,2015,77.54,7.15,0,201.6,150.4,30.15
VTLTM,1C1-090E,2015,47.733,3.643,4.64,110.728,86.447,30.314
MELTM,1E1-133E,2017,62.74,3.25,0.61,196.16,96.98,30.34
VTSSS,VT01,2009,94.678,0,25.653,178.408,0,30.453
VTSSS,VT01,2012,85.78,0,26.103,175.27,0,30.548
MELTM,1E1-135E,2014,65.533,3.467,0.113,187.067,113.067,30.567
VTSSS,VT62,1998,115.588,0,2.57,176.795,0,30.61
MELTM,1C1-078E,2013,75.093,8.381,0.214,163.692,126.482,30.742
VTLTM,1C1-101E,2014,2.733,6.807,6.663,75.284,52.388,30.744
MELTM,1E1-060E,2004,116.8666667,7.2,1.066666667,257.3333333,186,30.83333333
MELTM,1E1-131E,2015,23.46,2.2,1.1,127.7,63.1,30.9
VTSSS,VT40,1996,17.673,0,0.863,68.837,0,31.023
ALTM,050707O,2014,19.68,6.89,23.19,68.39,85.71,31.18
MELTM,1E1-133E,2015,58.39,3.4,0.2,168.4,90.5,31.2
MELTM,1E1-133E,2012,61.13,3.669,0,185.956,94.624,31.245
VTSSS,VT03,2008,80.88,0,3.658,134.843,0,31.298
MELTM,ME-9999E,2016,35.17,2.61,0.32,143.747,75.467,31.313
VTLTM,1C1-100E,2012,21.467,9.037,3.213,106.142,88.017,31.334
VTSSS,VT03,2013,71.225,0,2.083,209.72,0,31.478
VTLTM,1C1-091E,2015,74.018,5.39,2.392,133.898,112.369,31.487
VTSSS,VT01,2006,80.125,0,39.963,186.505,0,31.545
VTSSS,VT01,2014,100.448,0,27.325,215.955,0,31.578
VTSSS,VT03,2005,73.838,0,0.53,132.908,0,31.688
VTSSS,VT23,1993,142.073,0,1.69,202.73,0,31.73
ALTM,030172E,2001,154.63,7,1.43,219.13,222.75,31.79
VTSSS,VT23,2014,144.355,0,0.47,215.993,0,31.838
VTSSS,VT01,1999,84.955,0,42.643,189.87,0,31.848
VTSSS,VT28,2001,16.2,0,0.718,64.26,0,31.86
VTSSS,VT62,2012,123.068,0,0.12,188.925,0,31.88
VTSSS,VT28,1991,15.54,0,1.18,67.168,0,31.883
VTSSS,VT46,1996,80.335,0,3.315,144.723,0,31.913
MELTM,1E1-131E,2017,13.9,2.31,1.1,141.55,54.48,31.92
VTSSS,VT23,2015,142.19,0,1.945,214.35,0,31.945
VTSSS,VT23,2004,153.447,0,0.69,220.017,0,32.013
VTSSS,VT23,1996,136.443,0,2.635,206.365,0,32.015
VTSSS,VT12,1990,134.925,0,4.173,195.268,0,32.023
MELTM,1E1-135E,2015,64.28,2.867,0.133,178.767,111.5,32.033
MELTM,1E1-135E,2017,60.14,2.903333333,0.28,190.4033333,102.3733333,32.05
VTSSS,VT46,2010,82.78,0,0.055,146.718,0,32.1
VTSSS,VT01,2011,100.827,0,27.123,188.267,0,32.117
ALTM,1A1-112S,2017,5.715636364,9.429977273,0.280205638,76.1277183,55.79669621,32.12011681
MELTM,ME-9999E,2012,41.333,3.744,0.166,138.922,75.728,32.153
VTSSS,VT44,1998,78.568,0,3.713,135.47,0,32.17
VTSSS,VT23,1995,137.373,0,0.92,204.493,0,32.175
ALTM,050706O,2017,9.8988,5.78528,1.293254489,79.47906192,60.20346372,32.19904583
VTSSS,VT46,1991,89.828,0,2.23,152.805,0,32.228
VTSSS,VT01,2015,94.28,0,29.215,196.74,0,32.303
ALTM,030172E,1997,81.02,6.08,3.68,136.95,140.14,32.31
VTSSS,VT23,2016,137.685,0,0.08,202.19,0,32.323
VTSSS,VT23,1992,123.74,0,0.955,190.58,0,32.34
VTSSS,VT28,2016,14.053,0,0.235,58.675,0,32.38
VTSSS,VT62,2014,111.55,0,1.04,184.17,0,32.448
ALTM,020059O,2016,66.78,8.43,0.65,133.46,171.02,32.49
VTSSS,VT03,2014,67.128,0,9.883,130.558,0,32.49
MELTM,1E1-133E,2014,58.4,3,0.14,193.3,106.3,32.5
VTSSS,VT23,2017,149.46,0,0.01,214.2125,0,32.5375
VTSSS,VT23,1998,165.603,0,4.83,233.18,0,32.557
MELTM,1E1-135E,2013,69.157,2.909,0.454,203.043,115.115,32.599
ALTM,030172E,2003,130.49,6.92,1.52,195.84,199.97,32.62
MELTM,1E2-060E,2013,163.931,7.537,0,254.758,216.367,32.624
VTSSS,VT03,2017,58.4975,0,1.0475,123.5375,0,32.685
VTSSS,VT01,2007,82.235,0,42.378,192.13,0,32.69
VTSSS,VT23,1990,134.9,0,2.478,199.62,0,32.73
ALTM,020138O,2008,-20.23,11.19,1.91,45.71,51.37,32.76
VTLTM,1C1-089E,2010,21,5.813,2.237,85.959,64.934,32.826
VTSSS,VT46,2000,74.05,0,0.758,144.01,0,32.875
VTSSS,VT46,2011,79.12,0,0.165,146.725,0,32.958
ALTM,030172E,2000,163.9,7.94,1.45,228.97,232.67,33
VTSSS,VT03,2007,74.178,0,2.255,206.67,0,33.003
VTSSS,VT44,2015,76.09,0,0.618,137.013,0,33.018
VTLTM,1C1-091E,2014,68.417,4.7,2.856,131.287,109.94,33.021
VTLTM,1C1-101E,2013,3.133,6.673,2.57,67.106,45.805,33.035
VTSSS,VT62,2017,116.7675,0,0.0175,187.465,0,33.135
VTSSS,VT62,1991,118.035,0,4.628,187.645,0,33.16
VTLTM,1C1-100E,2011,18.933,8.83,1.433,90.639,76.501,33.163
VTSSS,VT62,2007,110.058,0,0.178,189.173,0,33.185
MELTM,1E1-133E,2013,57.01,2.854,0.107,189.072,97.002,33.207
VTSSS,VT46,1998,88.365,0,0.75,148.185,0,33.238
VTSSS,VT15,2003,23.495,0,1.485,74.325,0,33.315
MELTM,ME-4778E,2004,1.1,3.066666667,0,74.96666667,37.96666667,33.33333333
VTSSS,VT29,1991,10.065,0,2.028,58.73,0,33.345
VTLTM,1C1-110E,2013,1.24,1.703,9.971,56.348,40.833,33.361
VTSSS,VT62,2003,100.308,0,1.735,171.418,0,33.403
MELTM,1E2-060E,2006,154.85,11.5,0.25,274.8,239.8,33.5
VTSSS,VT44,2004,79.023,0,0.688,137.175,0,33.51
VTSSS,VT62,2011,105.293,0,0.06,174.765,0,33.568
MELTM,1E1-135E,2016,61.647,3.2,0.28,184.147,103.953,33.603
VTSSS,VT44,1995,66.573,0,1.57,130.095,0,33.605
VTSSS,VT28,1993,15.165,0,1.698,65.245,0,33.61
MELTM,ME-9999E,2014,30.263,3.367,0.457,148.033,80.6,33.617
VTLTM,1C1-091E,2017,69.6,4.9455,0.7876,129.2237625,110.19795,33.618
VTSSS,VT44,2005,70.825,0,0.525,135.128,0,33.63
VTSSS,VT44,2016,81.548,0,0.915,137.77,0,33.645
VTSSS,VT44,2000,69.605,0,0.8,132.523,0,33.718
VTSSS,VT44,2017,70.7175,0,1.92,138.585,0,33.7325
MELTM,1E1-131E,2011,14.72,1.906,0.185,126.19,52.193,33.745
VTSSS,VT44,1992,70.463,0,4.203,131.105,0,33.78
VTSSS,VT62,2000,108.285,0,2.405,176.018,0,33.783
VTSSS,VT62,1996,97.808,0,3.243,168.245,0,33.798
VTSSS,VT29,1990,10.345,0,1.043,58.853,0,33.815
VTSSS,VT44,2001,82.91,0,0.745,141.46,0,33.818
VTSSS,VT11,1990,36.828,0,3.768,90.71,0,33.83
VTSSS,VT44,2014,70.118,0,1.148,138.835,0,33.86
ALTM,1A1-107E,2006,-35.64,14.73,1.11,54.57,64.14,33.87
VTLTM,1C1-090E,2013,42.65,4.333,4.629,111.45,88.121,33.895
VTSSS,VT03,1994,66.068,0,2.075,128.195,0,33.923
VTSSS,VT62,2004,109.878,0,2.97,180.003,0,33.978
VTSSS,VT23,2005,140.935,0,0.528,210.798,0,34.015
VTSSS,VT44,1993,75.738,0,3.93,137.703,0,34.028
VTSSS,VT44,1997,72.53,0,6.778,138.32,0,34.043
VTSSS,VT44,1996,70.058,0,6.643,135.16,0,34.073
MELTM,1E1-131E,2013,14.186,1.207,0,126.641,51.36,34.081
VTLTM,1C1-090E,2012,40.317,3.95,4.117,105.455,83.741,34.128
VTSSS,VT44,2003,75.083,0,0.685,133.5,0,34.15
VTSSS,VT23,1997,152.098,0,1.35,221.75,0,34.158
MELTM,1E1-135E,2011,62.337,2.799,0.062,179.993,98.369,34.17
VTSSS,VT31,1991,7.538,0,0.803,64.268,0,34.22
ALTM,040186O,2017,-12.8624,7.4678,0.551764357,41.13751424,25.64626814,34.27667748
ALTM,1A1-112S,2015,14.52,8.89,4.96,62.12,84,34.31
MELTM,ME-4778E,2000,-2,2.9,0.6,71.6,35.76666667,34.33333333
MELTM,1E1-131E,2010,17.17,2.08,0.249,117.793,47.419,34.342
MELTM,ME-9999E,2009,36.54,4.032941826,0.067676991,141.27311,78.95501,34.3517512
VTSSS,VT58,2016,109.268,0,0.188,167.325,0,34.36
VTSSS,VT29,1992,7.388,0,1.965,57.798,0,34.365
MELTM,ME-4778E,1999,-2.366666667,2.766666667,0.466666667,65.56666667,30.9,34.4
VTSSS,VT11,2001,41.02,0,4.63,92.255,0,34.575
VTLTM,1C1-110E,2011,-8.217,2.67,8.918,49.169,36.747,34.587
VTSSS,VT46,1990,82.255,0,3.633,143.743,0,34.593
VTSSS,VT44,2013,69.41,0,1.548,133.75,0,34.625
MELTM,ME-9999E,2015,29.69,4.3,0,131.15,82.35,34.65
MELTM,ME-4778E,2003,0.533333333,2.5,0,70.93333333,37.1,34.66666667
MELTM,ME-4778E,2002,2.166666667,3.033333333,0.333333333,75.5,37.83333333,34.66666667
VTSSS,VT28,2008,10.673,0,0.258,63.418,0,34.67
VTLTM,1C1-090E,2011,33.54,4.62,4.327,103.93,83.612,34.7
VTSSS,VT28,1995,12.16,0,0.748,65.983,0,34.73
MELTM,ME-9999E,2013,38.789,2.884,0.028,139.383,74.848,34.732
MELTM,ME-0441E,2014,77.6,5.5,0.323,205.6,138.6,34.733
VTSSS,VT28,2005,12.215,0,0.52,62.17,0,34.745
MELTM,ME-9999E,2011,37.337,3.327,0,134.494,71.08,34.761
VTSSS,VT23,2010,157.395,0,0,225.84,0,34.815
VTSSS,VT44,2012,78,0,0.13,135.835,0,34.835
VTSSS,VT03,1999,69.2,0,2.295,124.298,0,34.868
MELTM,ME-2068E,2017,170.4633333,2.55,0.283333333,256.3466667,188.1133333,34.91
MELTM,1E1-133E,2011,54.66,2.721,0,178.07,88.504,34.915
ALTM,030172E,2002,164.35,7.27,1.41,222.39,226.08,34.94
VTLTM,1C1-091E,2016,57.665,4.38,1.562,127.381,106.985,34.952
VTSSS,VT25,1991,14.483,0,0.95,64.738,0,34.998
ALTM,050707O,2012,20.37,7.34,26,73.5,91.65,35.02
VTSSS,VT23,2013,132.508,0,0.083,202.518,0,35.033
ALTM,020059O,2015,68.76,8.86,2.26,140.68,180.33,35.11
VTSSS,VT23,2012,160.198,0,0.095,226.758,0,35.11
VTSSS,VT46,2013,73.268,0,0,140.778,0,35.113
